NAICS,INDUSTRY,CLASS_ELAS
11,Agriculture Forestry Fishing and Hunting,Food beverages & tobacco
21,Mining,Other
22,Utilities (Energy and Water),Grossrent fuel & power
23,Construction,Other
31,Food Manufacturing,Food beverages & tobacco
32,Industrial Manufacturing,Other
33,High Industrial Manufacturing,Other
42,Wholesale Trade,Other
44,Retail Trade,Other
45,Retail Trade,Other
48,Transportation and Warehousing,Transport & communication
49,Transportation and Warehousing,Transport & communication
51,Information,Transport & communication
52,Finance and Insurance,Other
53,Real Estate Rental and Leasing,Other
54,Professional Scientific and Technical Services,Other
55,Management of Companies and Enterprises,Other
56,Administrative and Support and Waste… Services,Other
61,Educational Services,Education
62,Health Care and Social Assistance,Medical care
71,Arts Entertainment and Recreation,Recreation
72,Accommodation and Food Services,Recreation
81,Other Services (except Public Administration),Other
92,Public Administration,Other
